year,season,time,total_pedestrian,to_manhattan,to_brooklyn,weather,event
2019,Spring,12:00:00 AM,3,3,0,,
2019,Winter,10:00:00 PM,10,9,1,cloudy,
2019,Winter,11:00:00 PM,2,0,2,cloudy,
2019,Winter,09:00:00 PM,12,0,12,cloudy,
2019,Spring,03:00:00 AM,1,0,1,clear night,
2019,Winter,02:00:00 PM,3171,1685,1486,clear day,Christmas Day
2019,Winter,09:00:00 PM,13,5,8,partly cloudy night,
2019,Winter,04:00:00 AM,0,0,0,cloudy,
2019,Winter,09:00:00 PM,9,7,2,partly cloudy night,
2019,Summer,09:00:00 AM,520,281,239,partly cloudy day,
2019,Summer,02:00:00 AM,2,1,1,clear night,
2019,Fall,06:00:00 AM,125,66,59,clear night,
2019,Summer,07:00:00 PM,2627,1142,1485,partly cloudy day,
2019,Spring,03:00:00 PM,1601,730,871,partly cloudy day,
2019,Winter,09:00:00 PM,22,21,1,cloudy,
2019,Spring,09:00:00 PM,36,15,21,cloudy,
2019,Winter,03:00:00 PM,2708,1447,1261,clear day,
2019,Summer,01:00:00 PM,2270,1020,1250,partly cloudy day,
2019,Winter,02:00:00 AM,3,1,2,partly cloudy night,
2019,Spring,09:00:00 AM,1151,666,485,clear day,
2019,Summer,01:00:00 PM,1557,707,850,partly cloudy day,
2019,Summer,10:00:00 PM,79,65,14,partly cloudy night,
2019,Winter,04:00:00 AM,0,0,0,cloudy,
2019,Spring,02:00:00 PM,1805,754,1051,cloudy,
2019,Fall,08:00:00 AM,442,188,254,clear day,
2019,Spring,02:00:00 PM,2826,1425,1401,cloudy,
2019,Fall,01:00:00 PM,1554,637,917,partly cloudy day,
2019,Summer,09:00:00 AM,610,386,224,partly cloudy day,
2019,Summer,12:00:00 PM,1773,894,879,partly cloudy day,
2019,Spring,02:00:00 AM,0,0,0,clear night,
2019,Winter,01:00:00 AM,0,0,0,partly cloudy night,
2019,Spring,01:00:00 PM,1532,726,806,partly cloudy day,
2019,Summer,01:00:00 AM,4,2,2,partly cloudy night,
2019,Spring,04:00:00 AM,0,0,0,cloudy,
2019,Winter,05:00:00 PM,1120,449,671,partly cloudy day,
2019,Fall,04:00:00 AM,0,0,0,clear night,
2019,Summer,12:00:00 AM,8,4,4,clear night,
2019,Fall,01:00:00 PM,1080,463,617,partly cloudy day,
2019,Summer,07:00:00 AM,186,83,103,cloudy,
2019,Summer,02:00:00 AM,0,0,0,clear night,
2019,Spring,07:00:00 AM,199,70,129,clear night,
2019,Summer,10:00:00 PM,23,14,9,partly cloudy night,
2019,Winter,05:00:00 PM,741,409,332,clear day,
2019,Spring,02:00:00 PM,1394,609,785,clear day,
2019,Spring,06:00:00 AM,58,36,22,partly cloudy night,
2019,Fall,08:00:00 PM,41,38,3,partly cloudy night,
2019,Summer,09:00:00 PM,27,16,11,partly cloudy night,
2019,Summer,08:00:00 AM,482,197,285,clear day,
2019,Winter,07:00:00 PM,21,19,2,clear night,
2019,Fall,10:00:00 AM,1275,722,553,clear day,
2019,Summer,01:00:00 PM,2023,868,1155,partly cloudy day,
2019,Fall,03:00:00 AM,0,0,0,partly cloudy night,
2019,Winter,05:00:00 AM,0,0,0,clear night,
2019,Winter,01:00:00 AM,3,0,3,clear night,
2019,Summer,07:00:00 PM,1473,823,650,clear day,
2019,Summer,04:00:00 AM,0,0,0,partly cloudy night,
2019,Fall,09:00:00 PM,20,14,6,partly cloudy night,
2019,Summer,05:00:00 PM,1773,936,837,partly cloudy day,
2019,Fall,07:00:00 PM,38,27,11,partly cloudy night,
2019,Spring,08:00:00 PM,126,75,51,partly cloudy night,
2019,Summer,02:00:00 PM,1757,771,986,cloudy,
2019,Fall,11:00:00 PM,56,48,8,cloudy,
2019,Winter,04:00:00 PM,160,81,79,fog,
2019,Fall,02:00:00 PM,1329,619,710,partly cloudy day,
2019,Spring,05:00:00 AM,1,0,1,partly cloudy night,
2019,Fall,12:00:00 AM,13,11,2,cloudy,Halloween
2019,Winter,09:00:00 PM,12,0,12,rain,
2019,Winter,05:00:00 AM,4,1,3,clear night,
2019,Summer,12:00:00 AM,2,0,2,clear night,
2019,Spring,08:00:00 AM,535,219,316,clear day,
